"id"	"file_name"	"file_date"
45988	"DTXSID1032646_SampleID1480937.pdf"	
45989	"DTXSID3031862_SampleID148932.pdf"	
45990	"DTXSID8037708_SampleID1480934.pdf"	
45991	"DTXSID30382063_SampleID1480943.pdf"	
45992	"DTXSID70880215_SampleID1480972.pdf"	
45993	"1480899_EI.pdf"	
45994	"1480900_EI.pdf"	
45995	"1480901_EI.pdf"	
45996	"1480902_EI.pdf"	
45997	"1480904_EI.pdf"	
45648	"Desoxypipradrol.pdf"	
45649	"JWH-210.pdf"	
45650	"4-methyl-alpha-pyrrolidinopropiophenone.pdf"	
45651	"2-Chloroethcathinone.pdf"	
45655	"Mexedrone.pdf"	
45656	"Deschloroketamine.pdf"	
45657	"p-METHOXYMETHAMPHETAMINE.pdf"	
45659	"2-Fluoro-ADB.pdf"	
45661	"Pyrovalerone.pdf"	
45662	"Acetylcodeine.pdf"	
45663	"Nitrazepam.pdf"	
45664	"5-Fluoro-ADBICA.pdf"	
45665	"alpha-PiHP.pdf"	
45666	"N-benzyl-3,4-DMA.pdf"	
45667	"methiopropamine.pdf"	
45669	"KHAT.pdf"	
45671	"Sertraline.pdf"	
45673	"4-Fluoroethcathinone.pdf"	
45674	"ACHMINACA.pdf"	
45675	"Bupropion.pdf"	
45676	"Heptyl-UR-144.pdf"	
45677	"Methylepitiostanol.pdf"	
45678	"meta-fluorobutyryl fentanyl.pdf"	
45679	"N-benzyl para-fluoro norfentanyl.pdf"	
45680	"Desmethylflunitrazepam.pdf"	
45681	"3-Chloromethcathinone.pdf"	
45683	"pentedrone.pdf"	
45924	"4-fluoro-PV8.pdf"	
45925	"AH-7921.pdf"	
45926	"Fluoxymesterone.pdf"	
45927	"Fentanyl Carbamate.pdf"	
45928	"2,5-Dimethoxy-4-ethylamphetamine.pdf"	
45929	"Pravadoline.pdf"	
45930	"alpha-PVT.pdf"	
45931	"Phenylpiracetam.pdf"	
45932	"4'-methyl acetyl fentanyl.pdf"	
45933	"MEP-FUBICA.pdf"	
45934	"2,3-MDPV.pdf"	
45935	"PHENCYCLIDINE.pdf"	
45936	"Lorcaserin.pdf"	
45938	"EG-2201.pdf"	
45939	"JWH-307.pdf"	
45940	"Bromazolam.pdf"	
45941	"JWH-250.pdf"	
45942	"5-Fluoro-MN-18.pdf"	
45943	"Flubromazolam.pdf"	
45944	"4-Chloropentedrone.pdf"	
45945	"MPHP.pdf"	
45946	"Flurazepam.pdf"	
45947	"Tramadol.pdf"	
45948	"4-acetoxy-MIPT.pdf"	
45949	"4-Chloroethcathinone.pdf"	
45950	"Ethcathinone.pdf"	
45951	"SCOPOLAMINE.pdf"	
45952	"4-Hydroxy-MIPT.pdf"	
45953	"2-FMC.pdf"	
45954	"SDB-005.pdf"	
45955	"Diphenidine.pdf"	
45956	"AM1248.pdf"	
45957	"3-Fluoro-ADB.pdf"	
45958	"Zolazepam.pdf"	
45959	"FUB-AKB-48.pdf"	
45975	"25I-NB3OMe.pdf"	
45976	"Ethylphenidate.pdf"	
45977	"alpha-PBP.pdf"	
45684	"5-chloro-AB-PINACA.pdf"	
45685	"Testosterone Caproate.pdf"	
45686	"URB597.pdf"	
45687	"3-Fluorophenmetrazine.pdf"	
45688	"DMAA.pdf"	
45689	"JWH-081.pdf"	
45690	"N,N-Dimethylcathinone.pdf"	
45691	"5-Fluoro-CUMYL-PINACA.pdf"	
45692	"MDPPP.pdf"	
45693	"Etaqualone.pdf"	
45694	"meta-Methoxy furanyl fentanyl.pdf"	
45695	"PX-1.pdf"	
45696	"25B-NBOH.pdf"	
45697	"ADB-FUBINACA.pdf"	
45698	"W-15.pdf"	
45699	"AB-FUBINACA.pdf"	
45700	"AM694.pdf"	
45701	"Isovaleryl fentanyl.pdf"	
45702	"Naphyrone.pdf"	
45703	"Oxazepam.pdf"	
45704	"METHAMPHETAMINE.pdf"	
45705	"Barbital.pdf"	
45706	"para-fluorofentanyl hydrochloride.pdf"	
45707	"HYDROCODONE.pdf"	
45708	"3,4-dimethoxyamphetamine.pdf"	
45709	"4-Methoxy-N-ethylcathinone.pdf"	
45710	"PSILOCIN.pdf"	
45711	"Ibogaine.pdf"	
45712	"4-methylamphetamine.pdf"	
45713	"4-APB.pdf"	
45714	"ortho-Methyl cyclopropyl fentanyl.pdf"	
45715	"para-Methoxy furanyl fentanyl.pdf"	
45716	"BB-22.pdf"	
45717	"Acryl fentanyl.pdf"	
45718	"METHAQUALONE.pdf"	
45719	"Phenmetrazine.pdf"	
45720	"Adinazolam.pdf"	
45721	"4-Fluoromethylphenidate.pdf"	
45722	"MARIJUANA.pdf"	
45937	"U10.pdf"	
